,usernames,tweets,date_and_time,responders,tweet_replies,Responder_time_responder,tweets_norm,tweet_replies_norm
1349,satriofess_,Pengen ngetweet sharing bisnis dengan alasan untuk cari modal nikah juga boleh nggak ya,5/18/19 21:18,satriofess_,Bantu retweet & like ya?,5/19/19 2:00,"['pengin', 'ngetweet', 'sharing', 'bisnis', 'dengan', 'alasan', 'untuk', 'cari', 'modal', 'nikah', 'juga', 'boleh', 'enggak', 'ya']","['bantu', 'retweet', 'like', 'ya']"
1350,notyourbaee___,Iya td kurang angklung daa ngetik nya:((,5/6/19 18:23,kekentanganhqq,Perasaan udjo deh bukan ujang:(,5/6/19 18:25,"['iya', 'tadi', 'kurang', 'angklung', 'daa', 'mengetik', 'nya']","['perasaan', 'udjo', 'deh', 'bukan', 'ujang']"
1351,dahbwangg,Yg sabar ya bgst,4/30/19 21:42,fishmeatball,gw bom juga nih soundpole,5/1/19 16:07,"['yang', 'sabar', 'ya', 'bgst']","['gue', 'bom', 'juga', 'nih', 'soundpole']"
1352,Ayunda_Zi,"Sejagad raya M City protes achievement tim mereka kalah hot sama pemberitaan Liverpool di media. Kok sedih kali hidup klen kutengok? Ga rame ya yang ngerayain klen juara makanya butuh dikoar-koarin di media?Selain butuh Fans Generator Specialist, mungkin butuh Creative PR team.",5/18/19 18:07,BobyLamanepa,Butuh sosial media specialist juga.. ,5/19/19 2:00,"['sejagad', 'raya', 'sama', 'city', 'protes', 'achievement', 'tim', 'mereka', 'kalah', 'hot', 'sama', 'pemberitaan', 'liverpool', 'di', 'media', 'kok', 'sedih', 'kali', 'hidup', 'kalian', 'kutengok', 'enggak', 'rame', 'ya', 'yang', 'merayakan', 'kalian', 'juara', 'makanya', 'butuh', 'dikoar', 'koarin', 'di', 'media', 'selain', 'butuh', 'fans', 'generator', 'specialist', 'mungkin', 'butuh', 'creative', 'pr', 'team']","['butuh', 'sosial', 'media', 'specialist', 'juga']"
1353,intankpr,"Obat tumo ro lingso opo yo, ndasku gatel tnan ",5/29/19 20:13,tiikkkaaaa,pake kapur ajaib,5/30/19 18:43,"['obat', 'tumo', 'ro', 'lingso', 'opo', 'yo', 'ndasku', 'gatel', 'tnan']","['pakai', 'kapur', 'ajaib']"
1354,GuyonWaton,"Dirgahayu Kabupaten Gunungkidul ke-188 tahun. Hijau dan Aman, Normatif, Dinamis, Amal dan Yakin Asah, asih serta asuh Nilai tambah serta keIndahan Dirgahayu Gunungkidul Jayalah",5/26/19 22:06,Adityakusum___,"Ndene ngopiiii mass, saiki gasw",5/26/19 22:10,"['dirgahayu', 'kabupaten', 'gunungkidul', 'ke', '188', 'tahun', 'hijau', 'dan', 'aman', 'normatif', 'dinamis', 'amal', 'dan', 'yakin', 'asah', 'asih', 'serta', 'asuh', 'nilai', 'tambah', 'serta', 'keindahan', 'dirgahayu', 'gunungkidul', 'jayalah']","['ndene', 'ngopiiii', 'mass', 'saiki', 'gasw']"
1355,CandoelSlankers,Ngomongin Teknologi 4.0 tp akses di batasi sama aj Bohong,5/24/19 18:11,jessovena,Sabar kang akeh twit g jelas ig g jelas fb g jelas ...mending sing anteng mentelengi maps ,5/25/19 2:37,"['mengomongkan', 'teknologi', '4', '0', 'tapi', 'akses', 'di', 'batasi', 'sama', 'saja', 'bohong']","['sabar', 'kang', 'akeh', 'twit', 'enggak', 'jelas', 'ig', 'enggak', 'jelas', 'fb', 'enggak', 'jelas', 'mending', 'sing', 'anteng', 'mentelengi', 'maps']"
1356,putringgunung,Selain kwatir...kadang kasian jg ma p presiden..niat baik tp musuhnya bnyk n berat..smg Allah mlindungi dan memudahkan urusanya.aamiin,5/24/19 0:07,Luv_NKRI,aamiinyarrabalallaamiin!!,5/24/19 1:46,"['selain', 'kwatir', 'kadang', 'kasihan', 'juga', 'sama', 'p', 'presiden', 'niat', 'baik', 'tapi', 'musuhnya', 'banyak', 'n', 'berat', 'semoga', 'allah', 'mlindungi', 'dan', 'memudahkan', 'urusanya', 'amin']",['aamiinyarrabalallaamiin']
1357,Junoari,Wes to pilih Daenerys wae,5/20/19 17:10,LuthKSudiro,,5/21/19 0:44,"['wes', 'tapi', 'pilih', 'daenerys', 'wae']",['nan']
1358,herdianameyp,Sekali jajan 84jt yaampun.. Nah saya.. Mau beli tas harga 300rb aja setahun sekali dong yaa kok syedih..,5/18/19 20:06,aboooookk,Itupun mikirnya 1 tahun sblumnya :'(,5/19/19 2:00,"['sekali', 'jajan', '84jt', 'yaampun', 'nah', 'saya', 'mau', 'beli', 'tas', 'harga', '300rb', 'saja', 'setahun', 'sekali', 'dong', 'ya', 'kok', 'syedih']","['itupun', 'mikirnya', '1', 'tahun', 'sblumnya']"
1359,notyourbaee___,Muka Sunda teh kumaha? Aya saung mang ujangna?:((,5/6/19 18:20,kekentanganhqq,Ya allah muka saung mang ujang wkwkwkwk itu berarti di mukanya ada angklung apa gimana,5/6/19 18:25,"['muka', 'sunda', 'teh', 'kumaha', 'aya', 'saung', 'memang', 'ujangna']","['ya', 'allah', 'muka', 'saung', 'memang', 'ujang', 'wkwkwkwk', 'itu', 'berarti', 'di', 'mukanya', 'ada', 'angklung', 'apa', 'bagaimana']"
1360,sipow,"Antrian pjg mungkin bkn krn milih kopinya, tp liat harganya",4/30/19 19:52,awsukarno,Nah! Bisa jadi ,5/1/19 16:07,"['antrian', 'panjang', 'mungkin', 'bukan', 'karena', 'memilih', 'kopinya', 'tapi', 'lihat', 'harganya']","['nah', 'bisa', 'jadi']"
1361,kaikoprtw,"Akan ku simpan rinduku untukmu ini baik baik. Agar suatu saat nanti, jika kita masih bisa bertemu. Aku bisa meluapkan rinduku untukmu dengan utuh, tanpa ada kurang sedikit pun. Semoga Tuhan lekas mempertemukan aku dan kamu, ya? Meski hanya sebatas teman dan sudah beda rasa.",5/18/19 17:44,astagaren,kikooo,5/19/19 2:00,"['akan', 'ku', 'simpan', 'rinduku', 'untukmu', 'ini', 'baik', 'baik', 'agar', 'suatu', 'saat', 'nanti', 'jika', 'kita', 'masih', 'bisa', 'bertemu', 'aku', 'bisa', 'meluapkan', 'rinduku', 'untukmu', 'dengan', 'utuh', 'tanpa', 'ada', 'kurang', 'sedikit', 'pun', 'semoga', 'tuhan', 'lekas', 'mempertemukan', 'aku', 'dan', 'kamu', 'ya', 'meski', 'hanya', 'sebatas', 'teman', 'dan', 'sudah', 'beda', 'rasa']",['kikooo']
1362,kaikoprtw,"Kalo ngelepas kamu bikin kamu bahagia. Insyaallah aku ikhlas. Tapi aku gamau, kamu dapet orang yang rasa sayang dia ke kamu itu cuma main main. Kamu itu baik, harus dapet orang baik juga. Aku gamau kamu disakitin.",5/29/19 19:22,kaikoprtw,Engga gitu kok,5/30/19 18:43,"['kalo', 'ngelepas', 'kamu', 'bikin', 'kamu', 'bahagia', 'insyaallah', 'aku', 'ikhlas', 'tapi', 'aku', 'enggak mau', 'kamu', 'dapat', 'orang', 'yang', 'rasa', 'sayang', 'dia', 'ke', 'kamu', 'itu', 'cuma', 'main', 'main', 'kamu', 'itu', 'baik', 'harus', 'dapat', 'orang', 'baik', 'juga', 'aku', 'enggak mau', 'kamu', 'disakitin']","['enggak', 'begitu', 'kok']"
