usernames,tweets,date_and_time,responders,tweet_replies,Responder_time_responder
fakbriya,"Best friend ever when them said ""Wes cuk rasah mikir utangmu roaku, aku ngerti kahananmu, dongakne wae rejekiku mlaku terus tanpa hambatan"". Rasane dadi pengen utang teros ",11/5/19 9:39,darmawanputraa1,"Kancamu sing ngutangi "" ooo konco bazeng""",10/31/19 20:51
cicicuuidh,"Sok2an tegar, sok2an kuat mau balik rantau jauh dari ibu.. tapi pas ibu ngga liat ya nangis sesenggukan ",11/1/19 16:16,cicicuuidh,"Kalau ketahuan nangis ibu pasti ikut nangis dan sedih.. ahhh mewek pagi2, siapa sih yg ngiris bawang merah ",11/1/19 16:16
tuuyuulyul,SISTEM PACARAN ZAMAN DAHULU. P A C A R I N. T I D U R I N. T E K D U N G. T I N G G A L I N ,11/3/19 13:50,PanggilAjaRutma,Oke ndasmu,11/3/19 16:58
nafiaaa__,Uteke lho ning dengkul,11/13/19 8:59,erikaakputri,gek dengkule ngd?,11/13/19 9:33
corvusee,"Daftar KKN pada rebutan diluar jawa, giliran daftar CPNS maunya di Jawa aja.",11/20/19 21:41,corvusee,Mutualan dulu kak... wkwkk,11/22/19 21:31
Erlindapus,kok iso to do duwe yang ? aku wae raiso,11/18/19 22:49,arganesya_,welele sesambatan mbel ,11/16/19 16:34
kolaktahu,"Yang dipikirin pas mau PAS, Temen ambis: - Pelajaran - Tugas - Nilai. Gua: - Bentar lagi libur. - Bentar lagi libur. - Bentar lagi libur",11/17/19 1:53,Gosahmagerr,Uas ga sih?,11/17/19 3:22
GuyonWaton,Njuk iseh ono sek mengganjal opo nang pikiranmu sek marai raiso turu ?,11/11/19 9:55,ReniRenoss,"Lagi kangen, kangen bab opo? Bab diceluk sa su sa su ro dekne. Wkwk",11/11/19 10:03
ayukmum,"Semua hal yang indah indah, tidak melulu soal pasangan, fergusoo....",11/9/19 14:24,baamzz27,"Siap,  mari kita kejar goal kita n konsisten wkwk",11/9/19 20:24
MansyurMaturidi,Hmm jgn lupa ini hari jum'at loh,11/7/19 14:40,DheaAnandaaaaa,Y,11/7/19 14:28
queennyns,Abot pacaran ki abot wes rasah pacar pacaran,11/5/19 9:36,elisazw__,gmn mo pcrn yg ngajakin aj g ad zxcvxasfteiepelw,10/31/19 20:51
cicicuuidh,"Tiap lagi packing ibu ngliatin terus dari belakang, ah ini yang bikin ngga tega.. semendal atiku ",11/1/19 16:11,cicicuuidh,"Sok2an tegar, sok2an kuat mau balik rantau jauh dari ibu.. tapi pas ibu ngga liat ya nangis sesenggukan ",11/1/19 16:16
SaikoDamai,"Yaa Allah Yaa Robb ! ...Mohon jadikanlah KAMI diantara orang-orang yang bertawakkal kepada-Mu, ... Jadikanlah KAMI diantara orang-orang yang menang disisi-MU, dan jadikanlah KAMI diantara orang-orang yang dekat kepada-MU, dengan kebaikan-MU. Aamiin... Aamiin... Aamiin yra",11/3/19 14:01,JumhanaTintin,"Aamiin Ya Allah.. pagi pak, sehat selalu..Selamat pagi semua",11/3/19 14:25
Vivinnuraini_,"Maksa buka hati disaat hati belum siap. Dasar akuuu, fokuslah kuliah dulu ",11/13/19 8:49,ianfebi01,Fokus kuliah is bullfckinshit,11/13/19 9:33
ichsn17_,"""KUIS RADIO"" :  : Hallo... Luwak white kopi passwordnya.??  : kopi enak nyaman di lambung, uwes cedak tapi rawani nembung",11/20/19 16:05,TegarStreett,Masyokkk,11/22/19 21:31
alasantri,Aku terlalu mufrod buat kamu yang tasniyah.,11/18/19 19:00,alasantri,Aku terlalu amil nawasekh buat kamu yang mubtada khobar.,11/18/19 19:08
aatinsugiyanti,      Dia yg salah gue yg minta maaf. Ini gue bucin atau goblok sebenernya?,11/16/19 16:12,tsunadeji,Yah goblok dek:(,11/17/19 3:22
bebebkumamabeth,Rekening listrik ,11/11/19 8:32,Dhul_Kemit,Makkkkkkkkkk ,11/11/19 10:03
ghazali_____,"Malem mingguku gur neng omah ro toko tok, wis beranjak dewasa poyo aku wkwkwk",11/9/19 10:27,275Bima,Xintil xibink,11/9/19 20:24
Delfiidell21,Oh ternyata paham pahaamm,11/7/19 12:51,HaikalGinoga,Tidur ,11/7/19 14:28
PeterPascaRilo,Yuhuuuu,11/5/19 15:41,aipn_219,Karena yg berlebihan itu ga baik,11/5/19 15:49
RingSatoe,Kembang telonku juga mati. Malah aku curiga dipateni kucing liane. Umur 3 bulan,11/1/19 15:50,DyasviantiRatna,Duh.. ini blm ada 3 bulan e,11/1/19 16:16
zarryhendrik,"Tuhan kalo stand up, bitnya gimana ya...",11/3/19 3:43,zarryhendrik,"Mungkin awalnya gini: _„ñHalo semua.. seneng banget bisa ada di sini, ditonton temen-temen semua yang gue tau meninggalnya kapan....._„ù",11/3/19 14:25
amel_eby,"Sini biar aku beritahu, Kelak aku akan butuh tangan untuk ku genggam ketika aku tidak yakin. Aku akan butuh pundak untuk ku sandar ketika aku mulai lelah, Aku butuh suara, senyuman, tepukan pundak, elusan kepala, genggaman di balut ketulusan.",11/13/19 10:17,amel_eby,Iya kelak. Aku mau kamu.,11/13/19 10:17
RafiAlexander,Telat johhh,11/20/19 16:02,Wahidbsaputraaa,Bali wae nyok,11/22/19 21:31
suryakrsynta,Yg umur 24 ayo tukeran umur.,11/18/19 16:27,muhtarblue,Gahmen,11/18/19 19:08
rezahari_d,"Kata temen : ""Jika bersama tanpa ikatan, maka bisa pergi tanpa pamitan.""",11/16/19 16:08,IrmaAprilianti_,Mungkin temen mu ada benar nya mas hmm,11/17/19 3:25
_riricantik,Cepet sebutin kalimat pertama kalian kalo ngegas!!! Aku maksa,11/11/19 8:31,septianalfi_,Bajingan,11/11/19 10:03
elsasilpiana,Kamu memikirkan dia. Sedangkan dia sudah tertidur pulas. Ehe lucu nya.,11/9/19 10:03,holaegidia,mohon anda tdr bsk bangun subuh,11/9/19 20:24
momonofficial,"Ngantuk banget sebenernya, Tapi tanggung jawab ini mesti selesai. _Ñ_ at Expresso Internet Caf_",11/7/19 10:13,ucang__,Kabari dong mon,11/7/19 14:28
cuddlelici0us,Crush aku uda tidur alias aku bingung mo chat ma sapa,11/5/19 11:26,katingmu,dm ae,11/5/19 15:49
ashimarrozy,"Urip kih ono aturan e, sak bebase ubetmu yo ono batesane. Mulo kuncine tenang, legowo trus dilakoni",11/1/19 15:32,farid_alfaruq,siap kyai,11/1/19 17:29
ernestprakasa,"Yth. rakyat Indonesia maupun native speakers. _„ñBahasa_„ù itu artinya _„ñlanguage_„ù. Kalo mau bilang Indonesian Language, maka sebutlah BAHASA INDONESIA, bukan BAHASA. Udah mau 2020 nih.",11/3/19 3:03,danbijaksanaa,"khusus kali ini saya tdk setuju. pak ernes, saya kuliah jurusan b.inggris, kata 'bahasa' dlm konteks inggris, itu bisa berarti bahasa indonesia, sama seperti indonesian. dlm konteks inggris: bahasa : indonesian : b.indo. indonesian : b.indo/ org indo",11/3/19 14:25
Isti_arm,"19 tahun. Ra sah mikir sing aneh2, fokus kuliah, ngaji. Ra sah mikir hal2 sing gak perlu dipikir ",11/13/19 8:34,LulukekaF,Muda syekalii anda,11/14/19 7:27
allyoucanart,Apa sarapan musik pagimu dabs?,11/20/19 16:01,azzumaris,,11/22/19 21:31
dihanputraaa,Mo kuliah ga dibolehin brenda :(,11/18/19 16:02,Noyayaa,brenda maunya ditemenin fif,11/18/19 19:08
ggataauk,ko aku nga nemu twtrmu,11/16/19 16:02,beyourrrs,sini ak cariin,11/17/19 3:25
yunideta,"Nah ini dia, Ibuku dan aku menyediakan makanan buat anak-anak peminta, yang kalau dirupiahkan lebih dari uang yang biasa dikasih. Sayangnya, mereka tetap milih minta uang, dan juga makanan... ",11/11/19 7:18,Ranggasuke,"Sama! Saya juga siapin makan lebih untuk yang minta minta. Eh ga nemu akhirnya dikasih ke satpam komplek aja. Giliran nggak ada makanan lebih, mereka muncul",11/11/19 10:03
andryxsan,"Ini sountrack lagu Anime PALING DALAM!!! Kebangetan kalau gak ambyar,apalagi setelah tau translate liriknya",11/9/19 8:43,naVactila,Lagu legend yg di-up kembali emang mangtap.,11/9/19 20:24
WildanEmzo,Omong kontol oleh ra sih kontolll wess,11/7/19 9:59,Nugrohooadis,Hasssssss muk ngepek,11/7/19 14:28
nciisalvia,"aku kira kamu jatuh cinta kepadaku, ternyata salah aku hanya jadi pendengar yang baik untuk dirinya.",11/5/19 10:18,NetijenSlmn,Aku barang,11/5/19 15:49
AngkiRutsa,"Hajilak , le mbut gawe ro le delok bal malah sregep le delok bal ",11/1/19 10:55,panjipragolo91,Nganti lali le nembung pujii ..,11/1/19 17:29
zarryhendrik,Jangan terkecoh sama kata _„ñbahagia_„ù. Fokus pada _„ñkomitmen._„ù,11/3/19 1:45,rasyourbae1,"tidak ada bahagia yang abadi, semua sedih pada saatnya",11/3/19 2:11
tapiboooongggg,Enak nih keknya jalan jalan muter ringroad jam segini,11/13/19 11:19,dzkrv,Trus drive thru di McD,11/14/19 7:27
teatreeoilll,_„ñAku perhatin kamu ga udah udah main mobile lagendnya._„ù_„ñHehe udah ko. Yuk bobo_„ù,11/20/19 16:01,teatreeoilll,Kok aku jadi baper dia ngalah ngudahin main game pas w tegur gitu.. which mean doi ga egois dengan bilang _„ñbntar lagi selesai ko_„ù,11/22/19 21:31
tanintannx,Ngendap di stasiun demi menunggu jam 8,11/18/19 16:01,molimsthama,Stasiun ngendi?,11/18/19 19:08
nasikuchenk,Apaan bgt sih orang,11/16/19 16:01,_aldidprast,Mampush,11/17/19 3:25
Edy_scj,"Ada 3 alasan pokok yg mnyebabkn perkawinan tidak sah & bisa dibatalkan: 1. Adanya cacat konsensus/ kesepakatan. 2. Adanya halangan perkawinan tanpa disertai surat dispensasi dr Ordinaris wilayah. 3. Cacat tata peneguhan perkawinan. Jika 1 aja alasan terpenuhi, bisa dibatalkan.",11/11/19 5:59,Edy_scj,Maaf€ Banyak tugas jadi terlewat€Mari kita lanjutkan kuliah singkat kita€Yuk€,11/11/19 10:03
alipsaurus,jenenge menungso nek durung weruh dewe lakyo ra ngandel. barang weruh sak mripat-mripat kemecer atine.,11/9/19 8:11,Lucass_emmanuel,Butuh golok mas ?,11/9/19 20:24
cheminahsayang,cutenya,11/7/19 9:42,farafzr,"Teramat comel, senyum lebar bila melihat adik sedara sakan begini:) Cantik sungguh hari kanak-kanak.",11/7/19 9:47
KaliurangPenak,"Wis sing tenang, yo ora kabeh kudu diraih dino iki iseh ono dino sesok, alon alon wae  to. Dilereni sik awake.",11/5/19 9:19,AbhieRistyan,"Alon2 sak tekane, gelem ngene ra glm yo wes golek liane...",11/5/19 9:27
DewatiRahmayani,"Buat nonton pameran dan acara keseniannya masuk ke Pagelaran Kraton aja, guys. Ada stand jualan makanan dan minuman juga kok nggak perlu takut kelaperan wkwk. Pokoknya asique ",11/1/19 10:25,RumahmurahInfo,Isine opo wae mbak,11/1/19 17:29
elisagrace_hp,Resume nya nyicil 1 halaman folio dulu gpp lah ya capek :(,11/13/19 9:08,elisagrace_hp,Oke nambah 1 halaman lagi:(,11/19/19 9:27
gubiguber,Ultramen ribut bukannya suruh diem,11/20/19 16:00,mbaolaaan,karena upin ipin suka keributan,11/20/19 16:06
taekucheng,Ngapain si nyindir di socmed yg bener bener pointing dan jelas orgnya kek gt wkwkwk. Mending omongin sama orangnya :(,11/18/19 16:01,taekucheng,Eh ini juga nyindirnya jelas deng wkwkwkwkek,11/18/19 16:02
listyaavivi,"Hadehhhhh, udah mbak mundur aja daripada nanti sakit :(",11/16/19 16:01,AyuNimasss,Yang laen masih banyak ,11/17/19 3:25
Edy_scj,"Pembatalan perkawinan adalah pernyataan yuridis Gereja yg menerangkan bahwa perkawinan itu SEJAK SEMULA TIDAK SAH, atau cacat. Maka, Gereja berwewenang membatalkan perkawinan tersebut, dgn bukti-bukti yang sahih dan kuat. Apa yg menyebabkan Perkawinan itu tidak sah??",11/11/19 5:53,Edy_scj,"Ada 3 alasan pokok yg mnyebabkn perkawinan tidak sah & bisa dibatalkan: 1. Adanya cacat konsensus/ kesepakatan. 2. Adanya halangan perkawinan tanpa disertai surat dispensasi dr Ordinaris wilayah. 3. Cacat tata peneguhan perkawinan. Jika 1 aja alasan terpenuhi, bisa dibatalkan.",11/11/19 10:03
marellazainenci,ojo gur galaw wae to suu,11/9/19 7:13,syaharaniiii,penak galaw,11/9/19 20:24
MegaSeptiAriani,Masih saya pantau ,11/7/19 9:20,AremanitaIntan,Pantau diharga berapa sis,11/7/19 9:22
tomysatriakrnwn,no hard feelings but ada orang yang ngomong _ÑÉlu gua lo gua_Ñé dan itu ngga cocok kalo dipake pas lagi ngobrol sama orang2 jawa atau orang2 satu daerahnya yang notabene bukan orang jekardah atau orang2 yang emang bahasa sehari-harinya pake itu.....,11/5/19 8:24,tomysatriakrnwn,"dadi tulung ngomong o biasa ae, aku paham kok):",11/5/19 8:24
Mitaay_,"Suka nya ngasih semangat orang lain, tapi semangatin diri sendiri aja g mampu. Aku.",11/1/19 10:11,NugPrtm,Macak mario tegoh terus mit.,11/1/19 17:29
devintaadv,Belut listrik kalo disetrum jadi mati apa malah makin jago?,11/13/19 8:26,RizalSetioadi,Jadi konslet,11/19/19 9:27
ykwknd,Sebutkan lagu yang judulnya pakai kata _„ñpagi_„ù !,11/20/19 16:00,apolloteenz,Pergi pagi pulang pagi,11/20/19 16:06
4rundaya,Ternyata yg pake peran pengganti setelah bobby tu yunhyeong.. Wkwk..,11/18/19 16:01,Jeeeeeeeaa,Ku kira itu hamish daud.  Pas kmu dm aku ga ngeh itu yoyo ,11/18/19 16:02
nurulashari23,Tiba-tiba ingin berkunjung ke-dua tempat Semarang/bandung?,11/16/19 16:01,nurulashari23,Eh lupa gada jadwal libur Jumat sabtu minggu malah dipake kerja :(,11/16/19 16:02
Edy_scj,"Lanjuttt...Harus dibedakan ada 2 istilah yg berbeda dlm perkawinan GK yaitu, 1. PEMBATALAN PERKAWINAN atau Anulasi perkawinan (declaratio nullitatis) dan 2. PEMUTUSAN PERKAWINAN atau Desolusi ikatan perkawinan (dissolutio vinculli). Apa sich bedanya?",11/11/19 5:48,Edy_scj,"Pembatalan perkawinan adalah pernyataan yuridis Gereja yg menerangkan bahwa perkawinan itu SEJAK SEMULA TIDAK SAH, atau cacat. Maka, Gereja berwewenang membatalkan perkawinan tersebut, dgn bukti-bukti yang sahih dan kuat. Apa yg menyebabkan Perkawinan itu tidak sah??",11/11/19 10:03
GuyonWaton,"Munduro, koe ki balungan kere ~",11/9/19 6:36,Nuughros,aku ngomong karo awakku dewe pas ngoco,11/9/19 6:42
alfindwi19,"Ketika udah sayang, eh malah ditinggal ngilang. Itu kebiasan siapa, hah.??? Jawab.!! Ya kebiasan kamu lah",11/7/19 9:05,liafenitaaa,Tidur,11/7/19 9:22
cil_cillaa,Tiap jam segini baru mau tdur ,11/5/19 8:11,Aliffahminur,Tarik selimut sebab malam kian larut :),11/5/19 8:24
NenggPesekk_,Kowe melek aku turu . Giliran kowe turu aku melek . kan asu :((,11/1/19 10:04,riangQzruh,Endi asune,11/1/19 10:08
dhita_erdittya,"Sukak! InsyaAllah sudah semua dipakai nih caranya. Sekarang tinggal mulai diet plastik. Ini paling berat, semoga bukan hanya Dilan yang kuat. Wkwkwk.",11/13/19 7:06,vikakurniawati,"Ashiappp, semangat",11/13/19 8:07
amaliayu__,ahaha perut gua bunyi,11/20/19 16:00,HampirLulus,Ada klaksonnya?,11/20/19 16:06
dfaxx11,Iya emang gakpapa akuog,11/18/19 16:00,whentomrrwcoms,"Hewan mulu, anggota badan mana nih buk :v",11/18/19 16:02
NKurniadi77,"Padahal kangen kata"" pagi sayang ",11/16/19 16:00,tiikkkaaaa,Udah setop halunya besop lagi,11/16/19 16:02
SabrinaDesvia,"Emang ukuran sukses e bocah ki di delok seko gaweane sek dadi PNS, tentara, polisi tok? Pikiran lawas! Untung bapak ibukku mbebaske aku meh ngopo wae sek penting lak sembodo tur tanggung jawab :)",11/11/19 5:41,PaisalTri,Betyulll ,11/11/19 5:42
KabarGunkid,"Pantauan Jalan Wonosari - Jogja ramai lancar, arah sebaliknya menuju Wonosari lebih lancar. ",11/9/19 6:30,KabarGunkid,"Likmin yg habis melintas merasakan lebih ramai dari biasanya. Apa jomblo baru malam mingguan, ya? ",11/9/19 6:42
JogjaUpdate,akuki moco mensyenan mau le mbayangke koyo sinderela ... sepatune ketuker neng kerajaan ... wkkwkw,11/7/19 8:30,JogjaUpdate,masuk rubrik ada ada saja ...,11/7/19 8:32
julianamaulida_,kamu gapantes ngambek. masa gaboleh ngambek. Aku belum pernah ngambek sama kamu lo. Yasana si. Silahkan aja. kamu gamau ngerayu gitu? ngapain. Kamu sendiri yang mau ngambek kok. Aku kudu pie due pacar ko ngene ,11/5/19 7:35,julianamaulida_,Santet aja biar tau rasa dia -_,11/5/19 8:24
lvprst,jika saja menjadi tiada adalah satu-satunya cara,11/1/19 9:54,iputr,asw tak kiro ngopo jebul lirik,11/1/19 10:08
Rifkaaa4,Aku lebih ingin menyelamatkan hatiku dari orang yang salah,11/13/19 14:28,zamronialif,Jomblo sedang membela diri awokwokwokk,11/13/19 8:07
aatinsugiyanti,Berak aja belum dah galu ya kan re,11/20/19 16:00,Reginaangelia_,Untung aku dah berak ,11/20/19 16:06
rizkyameliiaa_,Telat wei,11/18/19 16:00,ANTyulian,Koe ra ngomong,11/18/19 17:57
wuchereriasp,"Heran liat foto mutual pada mancung semua perasaan :( Sini bagi napa, aku pesek banget soalnya wkwk",11/16/19 16:00,frxndless,gpp lucuk,11/16/19 16:02
aditpedet3,Pingin mendem. Tp kok wes Ra doyan,11/11/19 4:05,umarhaidar_,"Hoax, hoax, hoax",11/11/19 5:42
Shit_Postinggg,"besok kalo mau emut jempol lagi, kasih jempol kaki aja",11/9/19 5:38,Junkkkkfood,Wkwkwkwkwkkw,11/9/19 6:09
_riricantik,Tanda aku mulai bisan sama kamu. 1.cuek. 2.cuekk. 3.cuekkk. 4.cuekkkk. 5.cuekkkkk. 6.cuekkkkkk. 7.cuekkkkkkk. 8.cuekkkkkkkk. 9.cuekkkkkkkkk. 10.cuekkkkkkkkk. 100. CUEKKKKKKKK!!!,11/7/19 7:57,billy_boled,bisan ? ,11/7/19 8:32
banyak_uang9x,Kegeprek?,11/5/19 6:47,banyak_uang9x,Baru sadar typo,11/6/19 0:45
sfrsf__,kamu tak pernah sungguh,11/1/19 9:51,calegponorogo,Kata siapa,11/1/19 9:55
DQpurnama,Memperbanyak teman.,11/13/19 13:52,Muthmainnah_as,Skuy,11/13/19 8:07
Azharceria10,Gas gung,11/20/19 16:00,agung_saputro5,Waduh sudah dijalan -_-,11/20/19 16:46
Fatiha_rima,Bgsd emng,11/18/19 16:00,hesanusi,Hahahaha ada ya,11/18/19 16:01
_light_of_hope_,"Aku sadar aku 'beda' memaksa aku berpura pura. :) Aku tutupi semuanya. Walaupun aku berbeda, semoga aku lebih bisa mendekatkan kepada Tuhan. Dan lebih memanusiakan manusia. Aku punya prinsip, kamu masih bisa berbuat baik Tsa. Jangan sedih terus :')",11/16/19 16:00,_light_of_hope_,"Aku gak bisa cerita lebih lagi. Dadaku sesek bgt ini. Buat mutualku yg tau psikolog di Jogja, aku minta tolong. Aku akhir akhir ini sering drop kesehatan mentalku. Pls :')  Aku lanjut lagi ntar. Ini sakit bgt dadaku. Sesek. -c-",11/16/19 16:02
daffalucianoo,Pengen. Koyo koe-koe. Tur ra ndueduit,11/11/19 3:55,Akuakmol,Yokenetak wul i,11/11/19 5:42
callme_uddy,Jauh jauh dari bandung ke jogja buat rebahan doang. Iyasip,11/9/19 5:36,kanganaklele,:'),11/9/19 5:55
ontyfenny,"okay liburan telah selesai. malam terakhir di jogja !! gak sabar untuk kembali lagi ke kota ini. semoga ketemu jodoh, loh",11/7/19 7:43,anggiawan_riki,Ku tunggu kau di monas,11/7/19 7:47
DwioktaVy,"Kalo kita kaka adek aja gimana?               Lo knpa ?  Ya adalah sesuatu yg gabisa aku omongin ke kamu.  ????? Aku harap kita masi bisa maen bareng lagi, chatan biasa, nongkrong.  H A H A, eh bgst lo kira aku terminal mau atret kapan aja okee.",11/5/19 6:03,kakakcan,abis putus masih mau ttp kaya dulu? tau nya dia udh punya yg lain awokwowkwok @Dewataradhika,11/6/19 0:45
NenggPesekk_,Kan mecicil ,11/1/19 9:28,GalihRinaldy,Ajak mma waelah,11/1/19 9:32
EnakEna84879866,Susunya kenceng gt.  Mntav,11/13/19 14:08,IcahSex,Mau,11/14/19 16:48
dibtiwr,Banguuun Woy !!! Jam 07.00 lhoo .,11/20/19 16:00,_syahjihan,"Oke, sudah bangun. Makasih fans",11/20/19 16:46
rrhhhy,Ditinggal rabi iki ambuambune,11/18/19 16:00,afandiagus420,"halah to, mung nulis dikiro tenan :(",11/18/19 16:01
nadhokya,numpang ngakakk,11/16/19 16:00,wasneveryourbby,waktu dan tempat dipersilahkan,11/16/19 21:33
melvierlsngg,Berharap pada manusia adalah patah hati yang paling disengaja.,11/11/19 3:44,stevanioktaviaa,Jgn terlalu berharap pada manusia ya,11/11/19 5:42
sega_thiwul,Anak tetangga akhirnya debut setelah trainee bertahun2. Kanmakan kuy~,11/9/19 5:18,ksntdys,Keprok keproooooook,11/9/19 5:20
wulandita_,Jangan sakit dulu lahhh galucu jam segini menggigil mana dirumah cuman sama adek yg masih 3 taun pula,11/7/19 7:27,yogandk,"Iya jangan sakit, nanti kalau kamu sakit aku bingung mau nyakitin siapa",11/7/19 7:47
gobeer_ahmad,besok yevhen hatrick..... nyuss lahh 16 gol _Ñ_ at Terminal Purworejo,11/5/19 5:37,Aminkmt1,Oke,11/6/19 0:45
sabet_atiG,Semester jahanam ,11/1/19 9:18,biIzzul,Ritwit,11/1/19 10:28
krisnawidayati,"Apa kabar, Amaryllis?",11/13/19 13:54,Aji_santos02,Urung tuwuh ,11/13/19 16:19
tytydtha,Wes kerep anjlok sampe patah hati akwwkk,11/20/19 16:00,farhanalff,Bucennnnnn,11/20/19 16:46
ArumKN,Horax bedo sama yg di atas sana,11/18/19 16:00,Juliaavrt,Aduhh aku tertinggal adoh gaes:v,11/18/19 23:05
rejaaak_,sehat meski gaada penyemangat :),11/16/19 16:00,mozyanovanti,"Semangat mas reja,dh gereja lum",11/16/19 21:33
GuyonWaton,"Tanpa kita sadari, 15 detik dari hidup kita kerap terbuang percuma hanya untuk menunggu iklan di youtube ""jo adalah cendekiawan"" supaya bisa kita skip.",11/11/19 3:27,ninosadewa,Biar dapet uang banyak setiap menit di kasih iklan. Dasar penyembah uang!,11/11/19 3:30
GuyonWaton,Bagaimana suasana hatimu ? Replay dengan emot ya ~,11/9/19 4:52,romaafn,"Emoh, gakbisa diwakilkan dengan emot",11/9/19 4:53
cil_cillaa,Sama siapapun berkenalan kalo tetep sayang sama satu orang ya tetep ga bakal bisa ganti in gtu loh ngerti ga sih ,11/7/19 5:01,Irvan_Tri11,Betul banget ,11/7/19 5:03
SaputriDian,Cara agar tidak boros dari pada harus menabung lebih baik nambah pemasukan,11/5/19 4:01,laksmasetiawan,Bisnis....,11/6/19 0:45
kuchengliar,"Basa-basi simpel: ""eh mbok aku nyilih korek"". basa-basi sulit: ""eh mbok aku nyilih suatu benda yang tidak terlalu mahal, namun apabila benda itu hilang, maka akan menumbulkan perpecahan, sampai pada perang dunia.""",11/1/19 8:47,annedhiva,Kriket mahal :(,11/1/19 9:04
dhyannnnn,Pengen mbaleni kuliah kualitatif:(,11/13/19 13:51,dhyannnnn,Stuck pollllll :(((((((,11/13/19 13:52
nurantariw,Nah langsung mau,11/18/19 16:00,hidaroihana,"Nek ono wujud dan sampel e rapopo mba wkwkw tiwas tak iyani tp pie ngono, pie jal wkw",11/18/19 23:05
Warteg2019gp,"Ucapanmu, menunjukan tingkat ketidak warasanmu, mungkin juga alumni RSJ. Orang gila nemang tidak akan di azab karena kegilaannya.  Dan Allah maha tahu mana manusia yang baik dan buruk.",11/16/19 16:00,Marsuci6,Memang betul. Hanya orang gila yang merdeka.  Manusia merdeka. Seperti di istana plecidenan,11/16/19 16:34
MSWunguningtyas,"Tp masa pdkt adlh masa yg paling indah itu benar adanya loh om. Kadang suka mikir, komitmen dan rasa itu penting mna? Ternyata sama-sama penting yah, butuh orang yang benar-benar paham, kalau rasa pasti ada pasang surutnya, tapi komitmen itu harus tetap dijaga no matter what",11/11/19 1:43,fiorirania,,11/11/19 4:11
bebebkumamabeth,BadyaLaah gambar e sopo kang,11/9/19 3:19,BakulAnak,Kasih tau gak yaaaa,11/9/19 3:20
KristiawanBayu,"Umur segini udah jadi ini itu, punya ini itu. Dibanding-bandingin? Bikin pusing? ya kalo menurutku sih mereka yg terlihat cemerlang itu punya kesempatan. Karena sejatinya kita itu sama aja, yg membedakan cuma kesempatan.",11/7/19 5:00,pencarimatahari,"setuju mas. setiap orang punya jalan dan kesempatan nya sendiri. pokmen, jalani sebaik yang kau bisa.",11/7/19 5:03
cheminahsayang,itu suara ORI saya,11/5/19 3:52,razinsenpai,Wuoh hahah ampun Tuanku.  Patik ingat sebab panas hujan panas hujan kebelakangan ni eheh. Serak basah je suara Tuanku. Sedap nyanyi ni Tuanku eheh. Ampun Tuanku. ,11/5/19 3:54
Brellaivadaa,"Kurasa lebih menyakitkan, mengakhiri apapun yang belum sempat dimulai samasekali. Terimakasih",11/1/19 7:23,dhandhanny_,Sabar salsa,11/1/19 9:04
vincencius_duta,"Apa jadinya kalo pas presentasi, pas udah di jatah kebagian apa aja tapi temenmu nyerobot bagianmu sampai gak ada kesempatan ngomong.... Tiap di tanya di grup materinya coba fotoin gak di read,, haha bgsd lah",11/13/19 13:54,angelinaaaxxxx,"Kalo ga bgsd namanya bukan ""temen"" Awowkwowkwowk",11/13/19 14:51
lemineraleale,"wkwk awalnya gue gt kok, gue tipe yg kalo ada masalah maunya tuntas detik itu juga. tapi lama-lama ngikut alur cowok gue, gue pikir iya juga, ga semua hal harus dijadiin masalah, malah bisa dijadiin topik bahasan buat saling perbaiki diri kedepannya.",11/18/19 16:00,unaliveinside,"Yaudah, langgeng terus yaa mbak  doain saya juga begitu wkwkwkwk",11/18/19 16:20
wayflessia,Isukë_ wes ono suoro-suoro rangepenak i dan soktau bajingan :).,11/16/19 16:00,dengkulrezim,"Ncen ngono mas, urip nek ora ngomongi wong ya diomongi wong. Hehehe",11/16/19 16:34
lidhiyaJelly,"Di kei panas sambat kepanasen, di kei udan sambat kudanan, sesuk sesuk meneh di kei udan banyu panas po yo sih sambat randuwe gulo, teh Karo kopi genti",11/11/19 0:58,illhampraasetya,Lumayan to yaa,11/11/19 1:24
MeitaAde,Cocok e ro kae. Pacaran sue ro kae. Kabeh medsos fotone ro kae. Ha nek jodone ro aku terus pie? Koe isoh pie?,11/9/19 3:04,ImmTGR_,Iso njempalik,11/9/19 3:15
hamidahdestiw23,"16.30 : gajian, ngerasa paling kaya. 16.40 : bayar angsuran, beli paketan, beli mantel. 17.00 : miskin lagi. Siklus",11/7/19 4:38,ombloisme,Guyu oleh ra sih ?,11/7/19 4:41
zumha_,Yang mau mutualan monggo . Auto folbek ,11/5/19 3:48,zumha_,Gue juga buka GIVEAWAY ini di instagram ku. Cek ig : slashfootwear syarat ga pake ribet,11/5/19 3:54
AdeYeah_,"uang jangan disimpan, putarkan terus. jangan takut gagal dan jadi pecundang!",11/1/19 7:02,rfqpm,"Bener bgt Mas Ade, lebih efektif neh nek di bagi neng bbrpa atm, ndi duit sek nggo diputer/dikembangno, ndi duit sek di keep nggo tabungan, ndi sek nggo maem sehari hari. Ovo, dana, jenius recomended bgt, Mas Ade.",11/1/19 8:10
aissstuvwxyzzz,Hatimu terluka sempurna,11/13/19 13:35,sepertikeluarga,isuk-isuk lho,11/13/19 14:51
